Event,Location,Date,Start,End,Image
Vide-Grenier Luxembourg,Avenue de la Gare,01.09.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/vide-grenier-luxembourg-iEqIqW/thumb_Vide-Grenier-Marion-Dessard_main.jpg
Festen (The Life of the Party),Cinémathèque de la Ville de Luxembourg,03.09.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/festen-home-cinema-1iLS1g/thumb_Festen_04_main.jpg
Boogie Nights (The Life of the Party),Cinémathèque de la Ville de Luxembourg,04.09.2024,19:00,21:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/boogie-nights-cult-fiction-the-good-the-bad-and-the-very-weird-1B_RYJ/thumb_Boogie_Nights_Party_cj_main.jpg
A Report on the Party and Guests (The Life of the Party),Cinémathèque de la Ville de Luxembourg,05.09.2024,19:00,20:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/a-report-on-the-party-and-guests-the-life-of-the-party-aDuKSI/thumb_A-report-on-the-Party-and-Guests_1_main.jpg
Daisies (The Life of the Party),Cinémathèque de la Ville de Luxembourg,05.09.2024,20:30,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/daisies-the-life-of-the-party-q_yibX/thumb_Daisies_1_CJ_main.jpg
Spring Breakers (The Life of the Party),Cinémathèque de la Ville de Luxembourg,06.09.2024,19:00,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/spring-breakers-the-life-of-the-party-EX_r-L/thumb_Spring-Breakers_2_main.jpg
Marché à la Brocante,"Place d'Armes, Luxembourg",07.09.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Le Guépard (The Life of the Party),Cinémathèque de la Ville de Luxembourg,07.09.2024,19:00,22:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/le-guepard-the-life-of-the-party-HQ64yR/thumb_Gattopardo_11_cj_main.jpg
Playtime (The Life of the Party),Cinémathèque de la Ville de Luxembourg,10.09.2024,19:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/playtime-the-life-of-the-party-ESHKSy/thumb_Playtime_Party_1_main.jpg
A Wedding (The Life of the Party),Cinémathèque de la Ville de Luxembourg,11.09.2024,19:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/a-wedding-the-life-of-the-party-SucnHz/thumb_A-Wedding_2.jpg
Eyes Wide Shut (The Life of the Party),Cinémathèque de la Ville de Luxembourg,12.09.2024,19:00,21:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/eyes-wide-shut-cult-fiction-KO4jrD/thumb_Eyes-Wide-Shut_main.jpg
"Prix <span class=""hyphen"">Miradas/Blécker</span> (15e Concours de <span class=""hyphen"">Courts-Métrages) </span>",Cinémathèque de la Ville de Luxembourg,13.09.2024,19:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/prix-miradas-blecker-15e-concours-de-courts-metrages-p5PnwP/thumb_Tu-tijera-en-mi-oreja_main.jpeg
Indiana Jones and the Kingdom of the Crystal Skull (Family Screenings),Cinémathèque de la Ville de Luxembourg,14.09.2024,16:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/indiana-jones-and-the-kingdom-of-the-crystal-skull-family-screenings-e9zpoy/thumb_Indiana-Jones-Crystal-Skull_01_main.jfif
Before Sunrise (Before Trilogy),Cinémathèque de la Ville de Luxembourg,14.09.2024,18:30,20:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-sunrise-before-trilogy-Gk-Tb9/thumb_Before-Sunrise_main.jpeg
