Event,Location,Date,Start,End,Image
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,20.07.2024,11:00,12:00,https://storage.googleapis.com/lu-echo-prod-experiences/FA7MuqnAlmYEYsy9d3kd/d-stad-liest-luc-marteling-L6qGwW/thumb_Luc-Marteling-Buch_main.JPG
D'Stad liest - Luc Marteling,Place de la Constitution,20.07.2024,11:00,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/FA7MuqnAlmYEYsy9d3kd/d-stad-liest-between-the-lines-TOdB5k/thumb_Between-the-Lines_main.JPG
D'Stad liest - Between the Lines,Place de la Constitution,20.07.2024,15:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/rBkOnTaqs7Mn05S-fMj7/lettering-modern-calligraphy-workshop-6qNkwY/thumb_lettering-square_main.jpg
Lettering & modern calligraphy workshop,The Holistic Corner,20.07.2024,14:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/mon-design-de-tatouage-en-linogravure-CZQatP/thumb_linogravure_main.jpg
Mein Tattoodesign mit Linolschnitt,Casino Luxembourg - Forum d'art contemporain,20.07.2024,15:00,18:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
Mein Tattoodesign mit Linolschnitt,Casino Luxembourg - Forum d'art contemporain,20.07.2024,15:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/mon-design-de-tatouage-en-linogravure-CZQatP/thumb_linogravure_main.jpg
"<span class=""hyphen""> Künstlerischer</span> Werdegang: Casino x CAC – la synagogue de Delme",Casino Luxembourg - Forum d'art contemporain,20.07.2024,10:45,19:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/itineraire-artistique-casino-x-cac-la-synagogue-de-delme-574NBb/thumb_cac-20delme_main.jpg
The Mystery Of Grand Hotel Wellington,Forum Campus Geesseknäppchen,19.07,20:00,,https://storage.googleapis.com/lu-echo-prod-experiences/8DqIYk-l3OEX9_kNK76n/the-mystery-of-grand-hotel-wellington-YNEFc1/thumb_Grand-Hotel-Wellington_main.jpg
"<span class=""hyphen""> BLUES'N'JAZZ</span> RALLYE",IKKI,20.07.2024,22:00,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/OpVoeqtuVDw_978DEEp8/blues-n-jazz-rallye-gfl85W/thumb_BLUES-N-JAZZ-RALLYE-2024-EVENT-IKKI-copie_main.jpg
"<span class=""hyphen""> BLUES'N'JAZZ</span> RALLYE",Brauerei - Big Beer Company,20.07.2024,22:00,23:45,https://storage.googleapis.com/lu-echo-prod-experiences/WmFz1thn6UGCqVs_enLy/blues-n-jazz-rallye-XQhZHz/thumb_BLUES-N-JAZZ-RALLYE-2024-EVENT-BBC-copie_main.jpg
The BLIND DATING Show,Carlitos Comedy Club,20.07.2024,21:00,,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/the-blind-dating-show-k8WN8n/thumb_450227946_392966970558968_2424702360969361927_n_main.jpg
Caribbean dinner salsa bachata party,Restaurant Qosqo Kirchberg,20.07.2024,19:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/caribbean-dinner-dance-party-6M-BWJ/thumb_IMG_6570_main.jpg
"Malen auf unerwarteten <span class=""hyphen"">Untergründen </span>",Nationalmusée um Fëschmaart,18.07,17:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/painting-on-unexpected-surfaces-q0iYPa/thumb_TOM6530_2024-07-03-095912_tkct_main.jpg
"Jeden Sonntag: Die geführte Tour für alle <span class=""hyphen"">Altersgruppen </span>",Casino Luxembourg - Forum d'art contemporain,21.07.2024,15:00,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/every-sunday-guided-tour-for-all-Wu_qZC/thumb_114-20Casino-20Luxembourg_My-20Last-20Will_2024_Vernissage_photo-20Jessica-20Theis_rsz_main.jpg
Richard Fox is still Unprepared,Carlitos Comedy Club,21.07.2024,20:00,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/richard-fox-is-still-unprepared-1HA0Gb/thumb_Richard-EB_main.jpg
"<span class=""hyphen""> Erzählführung</span> (LU/DE)",Casino Luxembourg - Forum d'art contemporain,24.07.2024,11:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/marchenfuhrung-lu-de-G1pFP8/thumb_visite-20conte-CC-81e-20MLW_main.jpg
New in!,Nationalmusée um Fëschmaart,24.07.2024,12:30,14:45,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/new-in-IZnnVq/thumb_generate-transform-transformId-3577_main
Opera Summer Encores : La Bohème,Ciné Utopia,24.07.2024,13:45,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/pNQ5Po_FRHQCyQmVAMr-/opera-summer-encores-la-boheme-3dLEUL/thumb_2024_METSE_Slide-B2C-Flat_main.jpg
Narrated tour (EN),Casino Luxembourg - Forum d'art contemporain,24.07.2024,14:00,19:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/narrated-tour-en--baV1F/thumb_visite-20conte-CC-81e-20MLW_main.jpg
Visite contée (FR),Casino Luxembourg - Forum d'art contemporain,24.07.2024,16:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/visite-contee-fr-NmVNv_/thumb_visite-20conte-CC-81e-20MLW_main.jpg
Visite guidée avec la curatrice Sarah Beaumont,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,24.07.2024,18:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visite-guidee-avec-la-curatrice-sarah-beaumont-lYX44G/thumb_Chemical-Garden-2021-today_Courtesy-Muzeum-Sztuki-o-dz-2021-photo-Anna-Zagrodzka-1_main.jpg
"<span class=""hyphen""> Mittagsmusik </span>",Eglise Saint Jean Grund,25.07.2024,12:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/OpVoeqtuVDw_978DEEp8/afterwork-thursday-BSY-1-/thumb_AFTERWORK-EVENT-25-07-copie_main.jpg
AFTERWORK THURSDAY,IKKI,25.07.2024,17:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/what-s-looking-at-me-_rBgGp/thumb_la_raeven_main.jpg
Was blickt mich an?,Casino Luxembourg - Forum d'art contemporain,25.07.2024,19:00,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/public-sound-system-GJtpp-/thumb_no-20date_site_new_main.png
Public Sound System,Casino Luxembourg - Forum d'art contemporain,25.07.2024,17:30,12:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/guided-tour-for-parents-and-babies-9-P8Vm/thumb_visites-20bebes_main.jpg
"<span class=""hyphen""> Ausstellungsführung</span> für Eltern mit Babys",Casino Luxembourg - Forum d'art contemporain,26.07.2024,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/z-_2JbX-iIoc5WSk6wtA/cycling-class-for-adults-ShOtFL/thumb_Bild_annonce_echo3_main.jpg
Radfahrkurs für Erwachsene,Fahrradkurs für Erwachsene Lycée des Arts et Métiers Limpertsberg,17.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/z-_2JbX-iIoc5WSk6wtA/adirF0wg7WVT8raY2TYdlj-IO0wME/thumb_Bild_annonce_echo3_main.jpg
Radfahrkurs für Erwachsene,Fahrradkurs für Erwachsene Lycée des Arts et Métiers Limpertsberg,17.07,19:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/conges-annules-opening-night-C-muwM/thumb_1500-1707233938_main.jpg
Congés Annulés Opening Night,Rotondes,26.07.2024,20:00,17:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
"<span class=""hyphen""> PubQuizGameShowTriviaNight! </span>",Carlitos Comedy Club,26.07.2024,18:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/pubquizgameshowtrivianight-3VZgDb/thumb_echo_main.jpg
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,27.07.2024,11:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/journal-du-futur-D0rbVS/thumb_journal_main.jpg
"<span class=""hyphen""> Zukunftsjournalisten </span>",Casino Luxembourg - Forum d'art contemporain,27.07.2024,15:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/what-s-looking-at-me-XNkAVC/thumb_la_raeven_main.jpg
Was blickt mich an?,Casino Luxembourg - Forum d'art contemporain,27.07.2024,16:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/duYXOT8_gKCp17rdCGP6/eng-erzielwanderung-mam-melissa-ACFkHR/thumb_2406_socialmedia_visite_erziel_wanderung_main.jpg
"Eng <span class=""hyphen"">Erzielwanderung</span> mam Melissa",Jardin de la Canopée,27.07.2024,15:00,17:30,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/sofi-paez-zMe84D/thumb_SOFIPAEZ_BY_MARIAM_WO_CHING_main.jpg
Sofi Paez,Rotondes,27.07.2024,20:30,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/ulyap-songs-beyond-circassian-tradition-Px_pZX/thumb_FLEE-FRONT_main.jpg
"<span class=""hyphen""> Ulyap-Lieder:</span> Jenseits der <span class=""hyphen"">tscherkessischen</span> Tradition",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,27.07.2024,18:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/WmFz1thn6UGCqVs_enLy/disco-invasion-ZXgZn3/thumb_DISCO-INVASION-EVENT-copie_main.jpg
DISCO INVASION,Brauerei - Big Beer Company,27.07.2024,22:00,17:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
Think On Your Feet,Carlitos Comedy Club,27.07.2024,21:00,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/think-on-your-feet-8QIiza/thumb_WhatsApp-Image-2024-07-11-at-17-38-56_main.jpeg
Allées disparues de la ville haute,19-21 boulevard Royal (Forum Royal),28.07.2024,14:30,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/WYrvPQy_Wf5AOOtUbnaA/allees-disparues-de-la-ville-haute-d_AhCW/thumb_Volkshaus-au-bd-Royal-vers-1914-MERSCH-Fran-ois-Le-Grand-Duch-de-Luxembourg-la-belle-poque-Luxembourg-t-2-1980-p-442-_main.jpg
Descendents,den Atelier,28.07.2024,19:00,10:45,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/descendents-Ei7Mka/thumb_FBEvent_Descendents_main.jpg
Bartleby Delicate,Rotondes,28.07.2024,20:30,19:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/bartleby-delicate-AOrOXW/thumb_Bartleby_DSC_0256_main.jpg
Lifeguard,Rotondes,29.07.2024,20:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/lifeguard-YbCsWn/thumb_Lifeguard-by-Mariana-Belaval-1-1-scaled1_main.jpg
Once upon a time…,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,30.07.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/once-upon-a-time-sXRIeM/thumb_visite_famille_photo_mudam_1_main.jpg
Opera Summer Encores : La Cenerentola,Ciné Utopia,31.07.2024,13:45,16:30,https://storage.googleapis.com/lu-echo-prod-experiences/pNQ5Po_FRHQCyQmVAMr-/opera-summer-encores-la-boheme-3dLEUL/thumb_2024_METSE_Slide-B2C-Flat_main.jpg
Klangbilder und die Kunst des Zuhörens,Casino Luxembourg - Forum d'art contemporain,31.07.2024,9:00,,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/l-art-de-l-ecoute-et-images-sonores-MeJiSy/thumb_vakanzen-20atelier_main.jpg
FÜR TEENS: GAMECHANGERS ACADEMY,Gamechangers Academy,24.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/Bs4daj8V8zWdjWuKL6tl/for-teens-gamechangers-academy-nZ8V3I/thumb_Design-ohne-Titel-31-_main.png
PÉNICHE,Rotondes,31.07.2024,20:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/peniche-a9k5-b/thumb_PENICHE-Ameline-Vildaer-1_main.jpg
Bolis Pupul,Rotondes,01.08.2024,20:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/bolis-pupul-gco-4I/thumb_Bolis-pupul_main.jpg
FANNY'S FUNNY FRIDAY,RockBox,02.08.2024,19:00,23:59,https://storage.googleapis.com/lu-echo-prod-experiences/JWnys4jd32woqvWsn16m/fanny-s-funny-friday-WbNJNO/thumb_FFF-EVENT-copie_main.jpg
"100,7 Air Break",Rotondes,02.08.2024,20:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/100-7-air-break-0EKgnG/thumb_Don-Piano_main.jpg
Summer Ceramic workshop by Cathy Deprez,Subtile Showroom-Gallery,02.08.2024,11:00,3.08,https://storage.googleapis.com/lu-echo-prod-experiences/TWfwSUJm1WSNW2xAkYAp/summer-ceramic-workshop-by-cathy-deprez-bZx9XD/thumb_summer-clay-workshop_main.png
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,03.08.2024,11:00,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-ebWmP8/thumb_Foto-Cath-drale_main.jpg
Butch Kassidy,Rotondes,03.08.2024,20:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/butch-kassidy-MwqjIw/thumb_Credit_-Lola-Stephen_main.jpg
"<span class=""hyphen""> Rocksteady/Ska/Reggae</span> Night",Liquid bar,03.08.2024,21:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/1N41FYmLbX1M4jj3ub_c/rocksteady-ska-reggae-night-lj0-vo/thumb_Gray-Black-Simple-Jazz-Music-Concert-Flyer_main.jpg
Meet Annelies (NL),Casino Luxembourg - Forum d'art contemporain,04.08.2024,16:00,16:20,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/meet-annelies-nl-4KU_SR/thumb_meet-20annelies_main.jpg
"Bright Ecologies – Experiences, Forms, Materials",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,04.08.2024,16:30,17:30,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/bright-ecologies-experiences-forms-materials-ZKNFm3/thumb_BrightEcologies_BookLaunch_Visual_main.jpg
Bill Ryder-Jones,Rotondes,04.08.2024,21:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/bill-ryder-jones-30m1vy/thumb_Bill-Ryder-Jones_main.jpg
DJ Headmasta,Rotondes,05.08.2024,18:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/dj-headmasta-EtSnF7/thumb_dj_headmasta_main.jpg
Chris Isaak,den Atelier,06.08.2024,19:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/chris-isaak-_XGF31/thumb_CI_FBEvent-copy_main.png
Narrated tour (EN),Casino Luxembourg - Forum d'art contemporain,07.08.2024,14:00,14:45,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/narrated-tour-en-AAdeVl/thumb_visite-20conte-CC-81e-20MLW_main.jpg
"<span class=""hyphen""> Erzählführung</span> (LU/DE)",Casino Luxembourg - Forum d'art contemporain,07.08.2024,16:00,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/marchenfuhrung-lu-de-kLTWXh/thumb_visite-20conte-CC-81e-20MLW_main.jpg
Bunte Vielfalt im Rasen,Arboretum du Kirchberg (Parc Klosegroendchen),07.08.2024,18:00,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/colourful-diversity-in-the-lawn-ed3SAk/https___cdn-evbuc-com_images_498017949_1342300245213_1_original_main.jpg
O.,Rotondes,07.08.2024,20:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/o-oTg0XS/thumb_O-credit-Holly-Whitaker_main.jpeg
"<span class=""hyphen""> Mittagskonzert </span>",Eglise Saint Michel,08.08.2024,12:30,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-atelier-avec-les-lovers-bijoux-en-plaque-or-UPKUux/thumb_bracelet_main.jpg
Vacances au musée: atelier avec Les Lovers – Bijoux en plaqué or,Lëtzebuerg City Museum,08.08.2024,18:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/oum-shatt--UBJvZ/thumb_Oum-Shatt-007-1grain_main.jpg
Oum Shatt,Rotondes,08.08.2024,20:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/gene-simmons-band-b_4mwt/thumb_FBEvent_GeneSimmons_main.png
Format:,Rotondes,09.08.2024,21:00,10:45,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/format-XFAvsJ/thumb_upsammy_main.jpg
Visites en langage facile,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,10.08.2024,10:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/guided-tours-in-plain-language-qyN4X3/thumb_image_2022-08-30-121406_tqcd_main.png
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,10.08.2024,11:00,12:30,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-oGyrx1/thumb_Foto-Cath-drale_main.jpg
Atelier impression végétale,Atelier impression végétale,10.08.2024,10:30,,https://storage.googleapis.com/lu-echo-prod-experiences/duYXOT8_gKCp17rdCGP6/atelier-impression-vegetale-lZ_-X5/thumb_2406-11_socialmedia_atelier_impression_main.jpg
Format:,Rotondes,10.08.2024,14:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/format-3fFymL/thumb_hisfable_main.jpg
Visite combinée – Sous une lumière dorée & Une promenade à travers l’art,Villa Vauban - Musée d'Art de la Ville de Luxembourg,21.07,10:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/visite-combinee-sous-une-lumiere-doree-une-promenade-a-travers-l-art-iSTSl7/thumb_Keller-107-1024x703_main.jpg
John Maus,Rotondes,13.08.2024,21:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/john-maus-TKmEPq/thumb_DSC9688_main.jpg
Opera Summer Encores : Porgy & Bess,Ciné Utopia,14.08.2024,13:45,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/pNQ5Po_FRHQCyQmVAMr-/opera-summer-encores-la-boheme-3dLEUL/thumb_2024_METSE_Slide-B2C-Flat_main.jpg
Clutch,den Atelier,14.08.2024,19:00,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/clutch-nNG5gg/thumb_FBEvent_Clutch_Echo_main.png
"Picnic Season: Xanti <span class=""hyphen"">Schawinsky/Monster</span> Chetwynd",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,7.08,10:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/picnic-season-xanti-schawinsky-monster-chetwynd-lxcEjr/thumb_xs526_1174_main.jpg
LAIR + Monica Hapsari,Rotondes,14.08.2024,20:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/lair-monica-hapsari-7i_l75/thumb_unnamed-e1710276889353-770x454_main.jpg
REMEMBER ELVIS,Brauerei - Big Beer Company,16.08.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/WmFz1thn6UGCqVs_enLy/remember-elvis-tYGb80/thumb_ELVIS-EVENT-copie_main.jpg
Mutiny On The Bounty,Rotondes,16.08.2024,20:30,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/mutiny-on-the-bounty-7hdVAM/thumb_20230526_MOTB_3-collage-pic_main.jpg
"<span class=""hyphen""> Familjentour </span>",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,20.07,10:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/familjentour-d_thul/thumb_md_mudam_18mai_7002_main.jpg
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,17.08.2024,11:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-URry-p/thumb_Foto-Cath-drale_main.jpg
Sensu + Slumbergaze,Rotondes,20.08.2024,20:30,21.08,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/sensu-slumbergaze-X8HkaJ/thumb_sensus_PICTURE-by-CAROLINE-LESSIRE_main.jpg
Les Voyeuses,Rotondes,26.07,,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/les-voyeuses-al_eCG/thumb_1_Parking_rue-des-Gaulois_KUTTER-Edouard-Film-6226-Neg-11_1963__Phototheque-de-la-Ville-de-Luxembourg_main.jpg
Congés Annules,Rotondes,26.07,19:00,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/conges-annules-omyFY7/thumb_Conges_Annules_-C-Eric_Engel_main.jpg
GROS COEUR,Rotondes,21.08.2024,20:30,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/gros-coeur-D0ycNN/thumb_PHOTO-2023-06-29-16-04-47_main.jpg
Tinariwen,den Atelier,22.08.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/tinariwen-d0Lksv/thumb_FBEvent_Tinariwen_main.png
"The books of Pollen at the Institute for <span class=""hyphen"">Multi-Species-Singing </span>",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,22.08,10:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/the-books-of-pollen-at-the-institute-for-multi-species-singing-eYP2Ql/thumb_Speaker-and-mic-over-Wetland-of-Ritoque_main.jpeg
Villa Plage: atelier avec les Lovers – Empreinte florale sur textile,Villa Vauban - Musée d'Art de la Ville de Luxembourg,23.08.2024,18:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-atelier-avec-les-lovers-empreinte-florale-sur-textile-pC8HWc/thumb_empreinte_main.jpg
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,24.08.2024,11:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-bCFm5b/thumb_Foto-Cath-drale_main.jpg
"Guided tour in English <span class=""hyphen"">""Jean-Christophe</span> <span class=""hyphen"">Quinton"" </span>",luca – Luxembourg Center for Architecture,24.08.2024,16:30,17:15,https://storage.googleapis.com/lu-echo-prod-experiences/oB0c1cl49l9M4BLaWGUJ/visite-guidee-en-francais-jean-christophe-quinton-Sn5Oqn/thumb_JULIENLELIEVRE-BB-QUINTON_A31A2671_CR_LR_main.jpg
"<span class=""hyphen""> L’empreinte</span> du Paradis",Villa Vauban - Musée d'Art de la Ville de Luxembourg,28.07,10:15,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/l-empreinte-du-paradis-QAGy_J/thumb_empreinte-du-paradis_main.jpg
Villa Plage: Ateliers avec ArteSana Handmade Designs – Crochet,Villa Vauban - Musée d'Art de la Ville de Luxembourg,28.07,14:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-ateliers-avec-artesana-handmade-designs-crochet---I0B-/thumb_crochet-768x1024_main.jpg
Fluid forms into canvas,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,25.08.2024,14:00,17:30,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/fluid-forms-into-canvas-UZ9F-0/thumb_2024-06-07_Agnieszka-Kurant_121_main.jpg
Visite guidée exclusive Cuvée Millésimée Crémant LUGA,Parc de la Ville Haute - Monument Amélie,25.08.2024,15:00,17:30,https://storage.googleapis.com/lu-echo-prod-experiences/duYXOT8_gKCp17rdCGP6/visite-guidee-exclusive-cuvee-millesimee-cremant-luga-34CUGd/thumb_2508_SRvisiteguidee_Cremant_post_main.jpg
Swing Social Dance,Rotondes,26.08.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/swing-social-dance-Q9ZQ2t/thumb_2024-25_Swing-Dance_Outdoor_main.png
Selfie,Nationalmusée um Fëschmaart,23.07,14:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/selfie-gzWy8e/thumb_generate-transform-transformId-3572_main
FÜR TEENS: GAMECHANGERS ACADEMY,Gamechangers Academy,20.08,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/Bs4daj8V8zWdjWuKL6tl/for-teens-gamechangers-academy-nZ8V3I/thumb_Design-ohne-Titel-31-_main.png
Xanti Schawinsky + Monster Chetwynd | Führung mit dem Kurator Christophe Gallois,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,28.08.2024,18:00,18:45,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/xanti-schawinsky-monster-chetwynd-guided-tour-by-exhibition-curator-christophe-gallois-8IGaqQ/thumb_xs465_1004_main.jpg
Am fréien Owend – Early Evenings at Mudam,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,31.07,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/am-freien-owend-early-evenings-at-mudam-K7WyHX/thumb_2024_06_09-Mudam_Reimagining-Museums-280_main.jpg
